,max_classe,max_prob
0,1301.0,0.999786815530212
1,1140.0,0.5632936132483933
2,2583.0,0.9999954913590662
3,2280.0,0.6796205852089813
4,2403.0,0.941323383001768
5,1280.0,0.9110814817434072
6,1560.0,0.9774772808305796
7,1300.0,0.8539114593380994
8,2705.0,0.9755763724365892
9,2522.0,0.3780380721949609
10,2585.0,0.9453807181885588
11,2403.0,0.5122393416909662
12,2060.0,0.9919900926800872
13,1280.0,0.8680192832332152
14,2060.0,0.675800708107854
15,1560.0,0.9799431549246947
16,2583.0,0.9990416396600776
17,1920.0,0.750251421066495
18,40.0,0.9462505190251932
19,1280.0,0.6650179287009235
20,1281.0,0.7438908413625549
21,1940.0,0.9990871931412416
22,1300.0,0.9993128901383408
23,60.0,0.99567232648972
24,1280.0,0.5845617219747122
25,1160.0,0.9833717727945956
26,2705.0,0.9550710128379116
27,1160.0,0.9978821018695908
28,2582.0,0.4336963858409721
29,2280.0,0.8798014975565904
30,2583.0,0.9941723414845708
31,1280.0,0.8956367043375804
32,1560.0,0.4951087860997445
33,2522.0,0.9992491280073464
34,2583.0,0.9970016685101244
35,1280.0,0.8642993393226939
36,10.0,0.4403771314816289
37,1140.0,0.9871687998318992
38,2583.0,0.9999372836725494
39,2705.0,0.9413831679646972
40,1940.0,0.9618780807856844
41,1560.0,0.9747391692848948
42,2060.0,0.819960995221129
43,10.0,0.504635271241157
44,2220.0,0.999994956559536
45,1300.0,0.986557608972917
46,1320.0,0.5215883817277431
47,2280.0,0.3489108829883037
48,2060.0,0.9633361034562824
49,2522.0,0.2804324841375707
50,25.83,2.1075999999999997
51,1302.0,0.6298804499412575
52,2522.0,0.995411330322841
53,2280.0,0.7865319099801883
54,1160.0,0.9797091271226588
55,2280.0,0.3389547818414207
56,2280.0,0.6380800855481863
57,2522.0,0.991764731584092
58,1560.0,0.6182650152578801
59,1300.0,0.989043918955621
60,2060.0,0.9847187588123002
61,0.6,1.6719
62,2583.0,0.9975621664161846
63,24.03,1.3788999999999998
64,2905.0,0.9818733994726206
65,2522.0,0.9993125583220792
66,1300.0,0.676344982450302
67,2905.0,0.9421525622053772
68,13.0,1.0568
69,1300.0,0.9928218263046108
70,2280.0,0.8892606185618837
71,1160.0,0.9997874738086704
72,1300.0,0.9192133026438394
73,60.0,0.6845963489787801
74,1920.0,0.9947881505972184
75,1280.0,0.5570064920364598
76,0.4,1.7407
77,2522.0,0.98034368343082
78,2905.0,0.9572645478853752
79,1560.0,0.9797500041039072
80,2060.0,0.9773754146468008
81,1280.0,0.7742906865277049
82,1160.0,0.9226234769957288
83,1560.0,0.9473674852825668
